Country,Count,PMIDs
Brazil,161,"19233830, 11307685, 31090672, 34157150, 31625176, 28267102, 22544523, 23203777, 25742529, 26304775, 27373788, 34739445, 39043668, 22965866, 27076063, 23430786, 37400113, 21298694, 38664957, 29065055, 17227782, 28250047, 20595919, 22593011, 12771390, 25654636, 12091588, 32079717, 28514023, 35524468, 15901885, 22826553, 33990526, 26416843, 36728099, 35902368, 22495910, 11198676, 14991850, 18467336, 9326164, 15699090, 12028959, 27699817, 31960054, 12768611, 35213483, 29608217, 25540411, 17238133, 11598970, 33269898, 38603581, 11665457, 21630300, 31851057, 26010237, 31046142, 30760605, 12134525, 24890757, 37792286, 10854501, 34739441, 35639982, 28742767, 16169920, 30255944, 25164308, 16570252, 25153306, 34379326, 37615855, 31895736, 12937187, 27443155, 17303675, 25654519, 27058477, 35959898, 31471924, 31740489, 31483067, 17315177, 14691269, 23868813, 16728501, 15657196, 29211910, 14635246, 31953962, 33410169, 34483134, 19117017, 33149004, 19952794, 33229906, 16960888, 22228199, 22402895, 31268937, 33769403, 33031131, 22539658, 19943317, 38127111, 38440821, 37380600, 22113960, 28195659, 18213643, 30640842, 34608892, 25046321, 39146326, 22847487, 24253807, 36240747, 31692000, 7579305, 38489471, 22314773, 15723874, 30882867, 35411399, 32769789, 39234938, 32826546, 37167963, 26471879, 33350662, 35081588, 37525353, 37505098, 37264527, 36069817, 35941744, 30946186, 26949877, 34291807, 31424077, 27317337, 37312576, 33774816, 23737353, 24526387, 35524457, 36906884, 14748050, 33423312, 9093663, 7832211, 23014595, 24806562, 35383118, 24145953, 40490394, 39016318, 40059386, 39621961, 39904623"
South Africa,159,"29574825, 33298754, 19943319, 29210092, 1311148, 22431163, 29934377, 19035594, 16928782, 3661567, 1847003, 25535033, 34775394, 20884796, 26503981, 35467599, 30557226, 28157768, 7810550, 23287724, 22094854, 15597356, 16497860, 30232809, 20623660, 16032737, 35352358, 36714961, 32079717, 15828071, 1992681, 31187486, 15289586, 29876956, 29602823, 15377766, 28486690, 33622782, 29143350, 1852098, 31911541, 22228263, 16766922, 30239033, 29608541, 7605979, 36611285, 29344984, 37853643, 26509750, 38752513, 34074955, 9614768, 31848233, 9624271, 7949061, 9750935, 8400211, 11511741, 2378373, 17311280, 9513639, 7951783, 16094611, 8503470, 8250060, 32472844, 15090672, 10086213, 8563852, 18566985, 31121039, 9659730, 35267214, 8695774, 1442791, 31740489, 26849271, 7900727, 31348423, 1415296, 28820860, 7489056, 27862095, 7703466, 21422006, 27207150, 17918230, 10994243, 35704778, 36730599, 22473580, 24709761, 25914322, 24727563, 9816385, 19666963, 8311096, 9987554, 38440821, 2305811, 26901656, 23393314, 31647574, 25183705, 7841421, 8758038, 18726880, 10984343, 2301411, 34184660, 23435448, 14739384, 19565628, 8250062, 37278149, 7697140, 39095052, 12225928, 2784625, 25285833, 7697143, 15776476, 10896964, 20576924, 15776467, 10570508, 37130821, 35973044, 29189410, 38332656, 29211908, 29016982, 26509748, 36385261, 22674665, 8837690, 7892830, 8250063, 8250059, 11813219, 3228069, 25348901, 1533994, 10474535, 9816378, 9423575, 23493379, 22068046, 12422026, 37137692, 37295943, 24899339, 40309908, 40063851, 39621962, 39836638, 40190122, 40188380"
Ethiopia,9,"29419423, 16140842, 37875370, 21919031, 9750944, 31045853, 36257667, 12361992, 35379702"
Serbia,9,"31587045, 16421395, 36977359, 16627545, 36255261, 9787845, 24164768, 37013937, 37984917"
Georgia,233,"33484179, 27501104, 38272665, 35244089, 28990211, 33378323, 31210374, 34091576, 15247801, 18332786, 30256303, 25123487, 14691968, 16766919, 2543087, 15891532, 31025402, 2662445, 29055889, 14691266, 21246585, 15898088, 28299820, 35293623, 21597107, 35761424, 32079717, 32730033, 37463847, 14991849, 9153051, 31348429, 26461866, 15591974, 29159876, 28594703, 25601914, 27820760, 30584658, 35941741, 31166282, 27930472, 28650899, 34310544, 21346636, 38270234, 12500459, 28497853, 36998177, 31800453, 29271837, 30229974, 33560064, 37264541, 32730021, 7489054, 26901777, 30740761, 31418883, 27501098, 31296664, 31306266, 22869786, 29383747, 33350659, 31800450, 32201386, 11160985, 28409857, 31949041, 33075156, 31800448, 10378973, 24893704, 21413053, 29280775, 34138824, 16362939, 30589657, 2218794, 31714372, 34267107, 10861763, 34238906, 15828069, 32445511, 29023345, 12125085, 26305997, 31800447, 36608153, 25164118, 34532872, 27466616, 14724472, 11920966, 2545005, 32769784, 27820761, 31800449, 15891531, 27501105, 29125194, 37153939, 30530485, 10378980, 28438788, 25431435, 27312402, 27466614, 27919059, 28692191, 27501099, 10723047, 25943457, 31090678, 28609354, 29851745, 11920967, 30661026, 26479857, 32886396, 12439876, 27501101, 36345775, 31800445, 10378971, 15761325, 30971425, 31895734, 32826552, 26949878, 30199471, 25153300, 36268894, 33405496, 32925525, 27501108, 31868762, 38234091, 26305283, 38360725, 27058495, 18181198, 18301169, 39367848, 27779316, 37968126, 34740219, 29720482, 38856006, 35260538, 34346103, 19786901, 36787539, 33737330, 24458134, 25046320, 34091579, 25896331, 36179344, 31134638, 34039757, 26247644, 33452037, 15167399, 35864570, 29672341, 32404840, 21932428, 32797692, 26681357, 33394875, 14610397, 31743489, 30507787, 33543496, 27184082, 30775791, 31800454, 27930476, 27820757, 22227874, 21701401, 20061887, 7670923, 39150069, 38748403, 38234218, 38083798, 38013397, 37696796, 37167959, 37167934, 32080017, 31800452, 31800446, 30395010, 30335678, 29200133, 29065061, 28692002, 28628061, 26716845, 24451608, 34931675, 28339972, 35932472, 37742097, 35596665, 36282631, 37291066, 9787851, 8147403, 11598978, 2750742, 39302715, 38047323, 37963719, 35899403, 9849536, 37932036, 35738891, 25052085, 39724650, 39971751, 39706579, 39815682, 39450880, 39392098, 40391677, 40056145, 39406485"
China,399,"19016263, 22025037, 30640845, 37757745, 8199670, 24806560, 11473142, 20191598, 3434565, 12883020, 20657306, 10658302, 15550606, 30475314, 37853679, 24899082, 35672917, 10769301, 12382253, 9113601, 21742741, 30366962, 11850554, 27158964, 26849258, 33149005, 28062834, 30928907, 25285841, 24561506, 32474961, 36806092, 26539771, 7977398, 33264191, 18070799, 34817454, 12645100, 37468282, 31567660, 24038080, 9327066, 35902362, 22886819, 17622849, 16362950, 33021514, 15076652, 22885711, 11850558, 33852547, 8000494, 31626072, 36868864, 33097673, 31046145, 24297825, 24604101, 25209850, 26258191, 2305803, 25589707, 21785367, 10998768, 25381316, 11439400, 15031399, 22076037, 25995295, 7795755, 7627320, 3499819, 34184659, 25654522, 20340101, 28697061, 15076649, 28498976, 28146040, 33560065, 21630299, 36735621, 12541277, 35273074, 19369898, 16973737, 32991377, 1585950, 24806561, 34184658, 34404677, 26898889, 37278146, 8311101, 32372077, 33509904, 33883533, 34860205, 36972977, 36868863, 28652381, 25030030, 1519616, 36165499, 29025959, 16691606, 26461877, 32769785, 19854696, 30217924, 26491144, 7485189, 31300562, 10341743, 24627303, 27530688, 36914382, 19773278, 29727397, 27679675, 10658546, 33268467, 38944843, 25603944, 29116991, 27810939, 31439688, 37903596, 12554841, 3674021, 22576458, 37193641, 25002575, 25673341, 25629802, 25794507, 17449561, 21511812, 33901161, 34897505, 19507184, 35959921, 22767869, 12499455, 33149009, 28780567, 34267107, 35673269, 16299101, 35673247, 15778258, 22411970, 30514747, 29166291, 32019846, 29370017, 15940718, 8837676, 8111461, 36207110, 11665459, 32839184, 9987560, 22539657, 24671028, 20306511, 32730022, 32513830, 21915070, 24996682, 37394558, 31403218, 17096360, 8563849, 38082560, 18666137, 23703823, 18381596, 3434564, 35738890, 17693780, 23095938, 23969497, 26849270, 30198067, 7977411, 11382183, 32855345, 33637624, 10824300, 30507786, 31793039, 11725337, 39102367, 34415348, 32024660, 27613755, 20134343, 32649650, 30308624, 35688420, 21520213, 36728925, 35673258, 32269133, 26081622, 31611310, 20957728, 34039759, 25666844, 29438155, 23811143, 1621696, 24415644, 26053372, 15247813, 17622851, 21796658, 36730929, 22996846, 28267104, 25285842, 15613610, 22929795, 27058488, 2305801, 34029299, 28157766, 27414015, 32471837, 30971425, 26147539, 35914284, 27930489, 16766929, 19267333, 31554647, 2305802, 30674606, 35244090, 21297152, 35680643, 17676589, 27389796, 8758040, 26834205, 19430315, 29215482, 31268937, 33737328, 28202579, 25851191, 28426525, 34184653, 12422024, 33394877, 26163545, 11119632, 32188634, 21670704, 36868862, 30793779, 22125090, 16973734, 34510097, 22107792, 18617834, 37918914, 30095589, 27373879, 17332138, 27058489, 32737151, 32112445, 10472317, 29563194, 20223844, 34184661, 25563548, 33289031, 28692015, 15376226, 34491972, 26220679, 29133596, 20862702, 35673262, 33443393, 35732041, 15354060, 10652691, 25563536, 22457229, 31504839, 17948247, 21508429, 38234094, 37167930, 37171101, 39234954, 30507787, 37101416, 33060188, 30661027, 7977397, 33122539, 16267100, 37705416, 22453811, 27820764, 27608149, 27414006, 22157804, 19136878, 38595272, 37696808, 36730251, 36728160, 36253926, 35673257, 35081591, 32730034, 32469194, 32404841, 31794496, 30946184, 29280772, 28368964, 26949881, 26849264, 26716859, 23439269, 23059552, 38104251, 33963871, 30212905, 27418044, 25701835, 19692518, 30923828, 29016953, 28898974, 28637219, 28393171, 32969041, 34250617, 33350480, 34825401, 26969815, 26147229, 8837675, 8833776, 8833775, 7755016, 8352294, 8352288, 3501672, 3324759, 3364423, 10474540, 22562051, 10474541, 7627318, 7795743, 24451610, 23247605, 38053269, 34969777, 33483460, 33323453, 36424171, 35654579, 35504721, 35379702, 24436059, 30538144, 23322918, 23104731, 40165527, 39875321, 40063854, 39805139, 39393924, 39971946, 38935365, 39805121, 39010282, 40480839, 40309909, 40209265, 40165478, 40063850, 40063846, 39820394, 40156918, 40045703, 40518183, 39904623, 39893500"
Thailand,21,"3434566, 38698682, 28204665, 31464817, 9614393, 28866609, 11351054, 18544589, 9830610, 23749805, 22581966, 24550196, 24142988, 34162719, 30020221, 31863096, 28598943, 19451234, 27060798, 39729505, 39775955"
India,119,"38242540, 8672800, 38272665, 15776468, 16032742, 20886531, 34972693, 9004930, 30421827, 28490043, 33177471, 38847306, 29579260, 28590271, 21685404, 17993927, 38652575, 14610398, 9636932, 27655775, 15898093, 8871328, 15613613, 31773774, 35941741, 35606102, 31651603, 30789446, 26565709, 25341423, 20213748, 37769440, 1606313, 15208382, 25941211, 20190656, 2589329, 28485525, 2264569, 9136212, 29735751, 10628057, 38595084, 24812026, 8808039, 25680978, 32924058, 8427260, 29674487, 24142979, 7485196, 28984687, 39213325, 9153059, 35732028, 34210793, 22467356, 28127780, 37696790, 34486049, 34184656, 1928114, 10024723, 30194271, 27465102, 34483134, 30199470, 31300561, 24727561, 14581646, 22648986, 7849866, 24406322, 15347774, 30916419, 36572527, 9258397, 31815812, 3674030, 26147550, 35732046, 34840321, 28003478, 28820863, 39302666, 1504297, 12028949, 30020221, 38083801, 31436609, 31615860, 1332467, 28002352, 20357681, 10412102, 9093978, 39322289, 38517151, 38242536, 30059359, 28598943, 34729596, 32359151, 31974582, 30882860, 32803802, 22467350, 27699811, 2596492, 39189707, 25800173, 23715108, 40309907, 40359033, 40309914, 40335442, 40383623, 39763103, 39406485"
Botswana,4,"23365118, 28742763, 9072029, 29211908"
Colombia,24,"28990210, 34740981, 36190909, 32079717, 29112631, 32991378, 22619114, 22628068, 31270847, 31922292, 29484691, 10940972, 25742544, 30284313, 29030397, 31300561, 25919593, 36719103, 22847615, 39302666, 37857488, 24142980, 40194264, 40561194"
